# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
1.67667503e+13	9.36477832e-12
1.84728144e+13	9.34798847e-12
2.03524752e+13	9.35746446e-12
2.24233968e+13	9.35329643e-12
2.47050406e+13	9.34926169e-12
2.72188479e+13	9.35819540e-12
2.99884423e+13	9.35536469e-12
3.30398507e+13	9.36926750e-12
3.64017485e+13	9.36006720e-12
4.01057288e+13	9.36221497e-12
4.41865996e+13	9.38647260e-12
4.86827104e+13	9.33507060e-12
5.36363132e+13	9.31857502e-12
5.90939590e+13	9.32440641e-12
6.51069356e+13	9.33866960e-12
7.17317494e+13	9.32960220e-12
7.90306568e+13	9.28301421e-12
8.70722485e+13	9.26451204e-12
9.59320948e+13	9.35601709e-12
1.05693455e+14	9.27467479e-12
1.16448062e+14	9.33893728e-12
1.28296980e+14	9.33400987e-12
1.41351558e+14	9.36163333e-12
1.55734477e+14	9.30425224e-12
1.71580899e+14	9.35352749e-12
1.89039738e+14	9.23573182e-12
2.08275063e+14	9.22295190e-12
2.29467637e+14	9.38443724e-12
2.52816614e+14	9.49097674e-12
2.78541416e+14	9.15469682e-12
3.06883789e+14	9.25972582e-12
3.38110078e+14	9.33590673e-12
3.72513730e+14	9.37871771e-12
4.10418050e+14	9.37709258e-12
4.52179242e+14	9.26584456e-12
4.98189752e+14	9.17206183e-12
5.48881961e+14	9.08862903e-12
6.04732245e+14	9.44331703e-12
6.66265452e+14	9.26880700e-12
7.34059837e+14	9.61476733e-12
8.08752491e+14	9.30896902e-12
8.91045332e+14	9.63353271e-12
9.81711702e+14	9.28626186e-12
1.08160363e+15	9.58178542e-12
1.19165984e+15	9.87810448e-12
1.31291459e+15	8.36741961e-12
1.44650734e+15	7.58885927e-12
1.59369353e+15	7.95688454e-12
1.75585633e+15	8.08856034e-12
1.93451965e+15	8.48481772e-12
2.13136247e+15	8.59051372e-12
2.34823460e+15	7.39683482e-12
2.58717408e+15	7.38664064e-12
2.85042632e+15	7.74546832e-12
3.14046522e+15	7.65820583e-12
3.46001639e+15	8.02890151e-12
3.81208280e+15	8.41661745e-12
4.19997295e+15	8.83458064e-12
4.62733201e+15	8.59376718e-12
5.09817606e+15	9.02034308e-12
5.61692982e+15	9.45287981e-12
6.18846824e+15	9.92244174e-12
6.81816229e+15	1.03960283e-11
7.51192949e+15	2.83790947e-12
8.27628946e+15	2.95571186e-12
9.11842520e+15	3.10212036e-12
1.00462506e+16	3.25628717e-12
1.10684849e+16	3.41790591e-12
1.21947344e+16	3.55472974e-12
1.34355829e+16	3.73060353e-12
1.48026913e+16	3.91554569e-12
1.63089068e+16	4.11052668e-12
1.79683839e+16	4.31410125e-12
1.97967175e+16	4.47296716e-12
2.18110892e+16	1.40931868e-13
2.40304289e+16	1.47747799e-13
2.64755927e+16	1.55003496e-13
2.91695588e+16	1.62667061e-13
3.21376434e+16	1.70731300e-13
3.54077391e+16	1.79661148e-13
3.90105762e+16	1.88293250e-13
4.29800121e+16	1.97511937e-13
4.73533492e+16	2.07264553e-13
5.21716858e+16	2.17534634e-13
5.74803016e+16	0.00000000e+00
6.33290840e+16	0.00000000e+00
6.97729965e+16	0.00000000e+00
